"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3747","Navigate to form page @smoke @regression","chromium","2026-03-14","passed","2026-03-14","","tests/usePageObjects.spec.ts","",""
"","4468","Parametrized methods @smoke","chromium","2026-03-14","passed","2026-03-14","","tests/usePageObjects.spec.ts","",""
